team #,match #,alliance color,starting level,preload,no show,moved forward,auto piece placed,double auto,ship cargo,level 1 cargo,level 2 cargo,level 3 cargo,ship hatches,level 1 hatches,level 2 hatches,level 3 hatches,hatches dropped,cargo dropped,hab attempt level,hab success,hab level reached,climb time,dead,defense,defended
3618,25,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1
3667,26,0,2,1,0,1,1,0,3,1,1,0,2,1,0,0,0,0,1,2,1,0,0,0,0
217,26,0,1,1,0,1,1,0,0,0,2,2,0,2,2,2,0,1,2,2,2,13,0,0,0
4253,26,0,1,2,0,1,1,0,2,0,0,0,0,0,2,2,0,0,3,2,3,2,0,0,0
7719,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,26,1,2,1,0,1,0,0,0,2,1,2,0,0,0,2,0,2,2,2,2,3,0,0,0
1792,26,1,1,1,0,1,1,0,0,0,0,0,2,2,1,0,1,0,3,1,2,4,0,0,0
7480,27,0,1,1,0,1,0,0,4,0,0,0,1,0,0,0,1,1,2,2,2,5,0,0,0
7673,27,0,2,1,0,1,1,0,4,0,0,0,1,1,0,0,0,0,2,2,2,7,0,0,0
3624,27,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
5951,27,1,2,1,0,1,0,0,3,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0
3542,27,1,1,1,0,0,0,0,1,0,0,0,0,2,2,2,0,0,3,1,1,0,0,0,2
868,27,1,2,1,0,1,1,0,0,2,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0
5348,28,0,2,2,0,1,1,0,7,0,0,0,0,0,0,0,0,0,3,2,3,5,0,0,0
772,28,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,1,1
2337,28,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
3555,28,1,2,1,0,1,1,0,2,0,0,0,2,1,0,0,1,0,2,2,2,6,0,0,0
6401,28,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,3,0,2,0
51,28,1,2,2,0,1,0,0,3,4,0,0,0,1,0,0,0,1,3,2,3,4,0,0,0
4381,29,0,1,1,0,1,1,0,0,0,0,0,0,2,2,2,1,0,3,2,3,6,0,0,0
5943,29,0,2,2,0,1,1,0,2,2,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0
191,29,0,2,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,1,0
