team #,match #,alliance color,starting level,preload,no show,moved forward,auto piece placed,double auto,ship cargo,level 1 cargo,level 2 cargo,level 3 cargo,ship hatches,level 1 hatches,level 2 hatches,level 3 hatches,hatches dropped,cargo dropped,hab attempt level,hab success,hab level reached,climb time,dead,defense
449,38,1,1,1,0,1,1,0,0,1,0,0,1,4,0,0,0,1,2,2,2,11,0,0
4099,39,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0
1086,39,0,2,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2,2,2,10,0,0
4541,39,1,1,1,0,1,1,0,1,0,0,0,1,1,2,0,1,1,1,2,1,0,0,0
422,39,1,2,1,0,1,0,0,3,2,0,0,0,0,0,0,0,1,2,2,2,3,0,0
3793,39,1,2,2,0,1,1,0,2,0,0,0,0,0,0,0,0,1,3,2,3,12,0,0
6543,39,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,2,2,7,0,3
384,40,1,2,1,0,1,0,0,4,1,0,0,1,2,0,0,1,1,3,2,3,5,0,0
977,40,0,2,1,0,1,1,1,0,0,0,0,0,2,2,0,0,0,1,2,1,0,0,0
2199,40,1,1,1,0,1,0,0,3,1,0,0,1,2,0,0,0,0,2,1,1,0,0,0
4242,40,0,2,2,0,1,1,0,3,3,0,0,0,2,0,0,0,2,2,2,2,4,0,0
4638,40,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,10,0,3
7770,40,0,1,1,0,1,1,0,2,1,0,0,1,0,0,0,0,2,2,2,2,3,0,0
539,41,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2
3939,41,0,1,1,0,1,1,0,0,0,0,0,1,0,2,2,0,0,2,2,2,14,0,0
3748,41,0,2,1,0,1,1,0,4,0,0,0,1,0,0,0,0,1,2,2,2,12,0,0
6802,41,1,2,1,0,1,1,0,4,0,0,0,3,0,0,0,0,0,3,2,3,16,0,0
1262,41,1,1,1,0,1,1,0,0,2,2,1,0,2,2,2,0,0,0,0,0,0,0,0
5830,41,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,12,0,2
2068,42,0,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,2,12,0,1
5587,42,0,2,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,2,1,0,0,0
5546,42,1,2,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,3,2,3,5,0,0
540,42,0,1,1,0,1,1,0,5,0,0,0,1,1,0,0,0,0,2,2,2,7,0,0
5338,42,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,2,0,2,1,1,0,0,0
1610,42,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0
4472,43,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0
2534,43,1,1,1,0,1,0,0,3,2,0,0,0,2,0,0,3,0,3,2,3,5,0,0
1123,43,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1
1413,43,1,1,1,0,1,0,0,3,0,0,0,2,1,0,0,3,0,3,2,3,15,0,0
3274,43,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3
686,43,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,2,1,1,0,0,0
619,44,0,2,1,0,1,0,0,0,0,0,0,1,1,0,0,4,0,2,2,2,4,0,0
4456,44,1,1,2,0,1,0,0,0,0,0,0,2,1,0,0,1,1,3,2,3,9,0,0
2849,44,0,1,1,0,1,0,0,3,0,0,0,0,1,0,0,1,1,1,2,1,0,0,0
6882,44,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,3
2537,44,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
1086,44,1,2,2,0,1,1,0,3,1,0,0,0,0,0,0,0,0,2,2,2,5,0,0
